Warning: {
	Model use is disabled for problem with categorical variables.
} 
Warning: {
	Anisotropic mesh are not supported with categorical and binary variables.
} 

MADS run {

	BBE	(	SOL	)	OBJ

	135+25	(	2 0 4109.0666652149 2 5887.4394785702 )	53.8164151300 (ExtendedPoll)
	135+30	(	2 0 4087.2300638722 2 5910.1495439667 )	53.8086966314 (ExtendedPoll)
	135+31	(	2 0 4021.7202598438 2 5978.2797401562 )	53.8029621572 (ExtendedPoll)
	178+9	(	2 0 4997.1817136392 2 5002.7091033541 )	55.8904416155 (ExtendedPoll)
	178+10	(	2 0 4988.7268545568 2 5010.8364134164 )	55.8568544583 (ExtendedPoll)
	178+11	(	2 0 4954.9074182272 2 5043.3456536654 )	55.7253209743 (ExtendedPoll)
	178+12	(	2 0 4819.6296729087 2 5173.3826146616 )	55.2455191020 (ExtendedPoll)
	178+13	(	2 0 4278.5186916348 2 5693.5304586464 )	54.1478187840 (ExtendedPoll)
	178+17	(	2 0 4250.5678419161 2 5749.4321580839 )	53.8463541922 (ExtendedPoll)
	209+11	(	2 0 4991.4018382213 2 5006.9604166780 )	55.8833196229 (ExtendedPoll)
	209+12	(	2 0 4965.6073528851 2 5027.8416667120 )	55.8295760866 (ExtendedPoll)
	209+13	(	2 0 4862.4294115405 2 5111.3666668481 )	55.6359728814 (ExtendedPoll)
	209+14	(	2 0 4449.7176461622 2 5445.4666673925 )	55.2305749540 (ExtendedPoll)
	209+18	(	2 0 4416.5260121211 2 5499.6214387226 )	54.9360602700 (ExtendedPoll)
	209+19	(	2 0 4316.9511099981 2 5662.0857527128 )	54.1235694449 (ExtendedPoll)
	209+21	(	2 0 4226.1108484122 2 5745.9383018691 )	54.0981732449 (ExtendedPoll)
	209+28	(	2 0 4295.9879727091 2 5690.0366024316 )	54.0285296848 (ExtendedPoll)
	209+39	(	2 0 4295.1963959104 2 5693.8580076666 )	53.9975464791 (ExtendedPoll)
	209+40	(	2 0 4292.8216655143 2 5705.3222233715 )	53.9048916226 (ExtendedPoll)
	258+8	(	2 0 4991.6202042347 2 5007.1787826914 )	55.8789766881 (ExtendedPoll)
	258+9	(	2 0 4966.4808169388 2 5028.7151307657 )	55.8122316385 (ExtendedPoll)
	258+10	(	2 0 4865.9232677554 2 5114.8605230630 )	55.5670382161 (ExtendedPoll)
	258+11	(	2 0 4463.6930710215 2 5459.4420922519 )	54.9622403869 (ExtendedPoll)
	258+15	(	2 0 4465.4399991290 2 5522.3315041191 )	54.2792880205 (ExtendedPoll)
	258+22	(	2 0 4465.8494354041 2 5530.1380890991 )	54.1936457881 (ExtendedPoll)
	258+25	(	2 0 4460.3083978134 2 5535.6518309382 )	54.1829242335 (ExtendedPoll)
	258+26	(	2 0 4443.6852850412 2 5552.1930564553 )	54.1517073596 (ExtendedPoll)
	258+27	(	2 0 4377.1928339525 2 5618.3579585239 )	54.0411998177 (ExtendedPoll)
	258+28	(	2 0 4111.2230295975 2 5883.0175667983 )	53.8374230147 (ExtendedPoll)
	258+38	(	2 0 4118.0196717655 2 5879.1961615633 )	53.8105466009 (ExtendedPoll)
	258+41	(	2 0 4124.3795819065 2 5874.6650667847 )	53.7943634220 (ExtendedPoll)
	258+50	(	2 0 4124.8617357702 2 5874.5877643630 )	53.7906784892 (ExtendedPoll)
	258+51	(	2 0 4125.6516065844 2 5874.0132740894 )	53.7887889498 (ExtendedPoll)
	258+53	(	2 0 4123.8654408339 2 5876.1201649220 )	53.7855913617 (ExtendedPoll)
	345+4	(	2 0 4926.6290194883 2 5050.6609151152 )	55.8573545355 (ExtendedPoll)
	345+5	(	2 0 4706.5160779532 2 5202.6436604609 )	55.8124774768 (ExtendedPoll)
	345+9	(	2 0 4650.6143785157 2 5314.4470593359 )	54.9951723917 (ExtendedPoll)
	345+18	(	2 0 4648.1031693612 2 5329.8418632826 )	54.8434056052 (ExtendedPoll)
	345+21	(	2 0 4663.2796072945 2 5326.0204580476 )	54.7617474708 (ExtendedPoll)
	345+24	(	2 0 4676.3815681001 2 5317.5041835239 )	54.7500380050 (ExtendedPoll)
	345+31	(	2 0 4680.0460227630 2 5316.1598677537 )	54.7351963289 (ExtendedPoll)
	345+34	(	2 0 4683.8264843704 2 5315.1840446312 )	54.7152907223 (ExtendedPoll)
	345+39	(	2 0 4684.6722261763 2 5314.6957065739 )	54.7138745538 (ExtendedPoll)
	345+42	(	2 0 4683.5902055200 2 5315.5546697595 )	54.7130556687 (ExtendedPoll)
	345+43	(	2 0 4680.3441435508 2 5318.1315593164 )	54.7106238781 (ExtendedPoll)
	345+44	(	2 0 4667.3598956743 2 5328.4391175440 )	54.7012704968 (ExtendedPoll)
	345+45	(	2 0 4615.4229041681 2 5369.6693504543 )	54.6698883036 (ExtendedPoll)
	345+46	(	2 0 4407.6749381433 2 5534.5902820956 )	54.6440687766 (ExtendedPoll)
	345+48	(	2 0 4390.6423890959 2 5560.7942037069 )	54.5173881146 (ExtendedPoll)
	345+49	(	2 0 4339.5447419538 2 5639.4059685409 )	54.1546080629 (ExtendedPoll)
	345+53	(	2 0 4329.0631733093 2 5668.6670143402 )	53.9515249195 (ExtendedPoll)
	345+60	(	2 0 4327.2889494502 2 5672.1472226792 )	53.9321944673 (ExtendedPoll)
	345+66	(	2 0 4327.7553229574 2 5672.0024272464 )	53.9295614439 (ExtendedPoll)
	345+67	(	2 0 4328.5409288104 2 5671.4219660272 )	53.9284968785 (ExtendedPoll)
	345+75	(	2 0 4328.4706502466 2 5671.5217727832 )	53.9281125932 (ExtendedPoll)
	425+16	(	2 0 4999.6291616237 2 5000.3176329854 )	55.9006895585 (ExtendedPoll)
	425+17	(	2 0 4998.5166464947 2 5001.2705319414 )	55.8976626910 (ExtendedPoll)
	425+18	(	2 0 4994.0665859789 2 5005.0821277656 )	55.8855968012 (ExtendedPoll)
	425+19	(	2 0 4976.2663439156 2 5020.3285110625 )	55.8380009177 (ExtendedPoll)
	425+20	(	2 0 4905.0653756623 2 5081.3140442501 )	55.6584535115 (ExtendedPoll)
	425+21	(	2 0 4620.2615026492 2 5325.2561770006 )	55.1234133107 (ExtendedPoll)
	425+24	(	2 0 4630.7430712937 2 5354.9539548267 )	54.7064652424 (ExtendedPoll)
	425+27	(	2 0 4621.4625157231 2 5367.5100005988 )	54.6438867561 (ExtendedPoll)
	425+28	(	2 0 4593.6208490110 2 5405.1781379151 )	54.4600465872 (ExtendedPoll)
	425+29	(	2 0 4549.9476463255 2 5448.8513406007 )	54.3496410161 (ExtendedPoll)
	425+30	(	2 0 4418.9280382689 2 5579.8709486573 )	54.0763891883 (ExtendedPoll)
	425+31	(	2 0 3894.8496060423 2 6103.9493808838 )	53.9197049939 (ExtendedPoll)
	425+44	(	2 0 3903.2294018076 2 6096.7705981924 )	53.8996693169 (ExtendedPoll)
	425+51	(	2 0 3903.5746504167 2 6096.4253495832 )	53.8992666551 (ExtendedPoll)
	425+52	(	2 0 3904.6103962441 2 6095.3896037559 )	53.8980629375 (ExtendedPoll)
	425+53	(	2 0 3908.7533795536 2 6091.2466204464 )	53.8933120622 (ExtendedPoll)
	425+54	(	2 0 3925.3253127913 2 6074.6746872087 )	53.8753312613 (ExtendedPoll)
	425+55	(	2 0 3991.6130457425 2 6008.3869542575 )	53.8196897705 (ExtendedPoll)
	525+3	(	2 0 4720.4915028125 2 5223.6067977500 )	55.4583179735 (ExtendedPoll)
	525+4	(	2 0 4385.0813061876 2 5559.0169943749 )	54.5837536207 (ExtendedPoll)
	525+15	(	2 0 4367.6120251133 2 5584.7841839594 )	54.4682528290 (ExtendedPoll)
	525+16	(	2 0 4315.2041818907 2 5662.0857527128 )	54.1388753912 (ExtendedPoll)
	525+18	(	2 0 4283.7594759571 2 5716.2405240429 )	53.8770977719 (ExtendedPoll)
	566+16	(	2 0 3661.9622527217 2 6337.4508886172 )	54.3613643939 (ExtendedPoll)
	566+17	(	2 0 3672.7713703864 2 6324.8811949693 )	54.3464807033 (ExtendedPoll)
	566+18	(	2 0 3716.0078410450 2 6274.6024203776 )	54.2957519362 (ExtendedPoll)
	566+19	(	2 0 3888.9537236798 2 6073.4873220106 )	54.2325516547 (ExtendedPoll)
	566+23	(	2 0 3910.7903250226 2 6051.2139886410 )	54.2135842543 (ExtendedPoll)
	566+24	(	2 0 3976.3001290509 2 5984.3939885321 )	54.1740869612 (ExtendedPoll)
	566+28	(	2 0 4033.9487565958 2 5959.9369950282 )	53.8521950489 (ExtendedPoll)
	566+34	(	2 0 4047.3782664216 2 5951.9666355381 )	53.7987546224 (ExtendedPoll)
	566+46	(	2 0 4047.6136123118 2 5951.9017281599 )	53.7971533414 (ExtendedPoll)
	566+50	(	2 0 4047.8134790560 2 5952.0419387593 )	53.7940433602 (ExtendedPoll)
	566+52	(	2 0 4047.6531698269 2 5952.2260518031 )	53.7938806683 (ExtendedPoll)
	566+53	(	2 0 4047.1722421396 2 5952.7783909345 )	53.7933936767 (ExtendedPoll)
	566+59	(	2 0 4047.2240480902 2 5952.7461205054 )	53.7932021747 (ExtendedPoll)
	566+64	(	2 0 4047.2545309008 2 5952.7446673365 )	53.7929324376 (ExtendedPoll)
	638+17	(	2 0 4999.9134679357 2 5000.0860989042 )	55.9013177479 (ExtendedPoll)
	638+18	(	2 0 4999.6538717426 2 5000.3443956169 )	55.9001728626 (ExtendedPoll)
	638+19	(	2 0 4998.6154869705 2 5001.3775824675 )	55.8955960762 (ExtendedPoll)
	638+20	(	2 0 4994.4619478821 2 5005.5103298701 )	55.8773330446 (ExtendedPoll)
	638+21	(	2 0 4977.8477915284 2 5022.0413194804 )	55.8049893023 (ExtendedPoll)
	638+22	(	2 0 4911.3911661138 2 5088.1652779214 )	55.5271121019 (ExtendedPoll)
	638+23	(	2 0 4645.5646644551 2 5352.6611116858 )	54.6099568042 (ExtendedPoll)
	638+29	(	2 0 4643.1899340591 2 5355.7660034392 )	54.5949958366 (ExtendedPoll)
	638+37	(	2 0 4643.2514561244 2 5356.2503964074 )	54.5891116760 (ExtendedPoll)
	638+39	(	2 0 4642.9300912980 2 5356.6179294388 )	54.5876751049 (ExtendedPoll)
	638+40	(	2 0 4641.9659968188 2 5357.7205285330 )	54.5833690042 (ExtendedPoll)
	638+41	(	2 0 4640.6472708158 2 5359.1620854185 )	54.5782267385 (ExtendedPoll)
	638+46	(	2 0 4639.9154034740 2 5359.8086535364 )	54.5770790094 (ExtendedPoll)
	638+47	(	2 0 4637.7198014483 2 5361.7483578901 )	54.5736490458 (ExtendedPoll)
	638+48	(	2 0 4628.9373933458 2 5369.5071753047 )	54.5601278395 (ExtendedPoll)
	638+49	(	2 0 4593.8077609356 2 5400.5424449631 )	54.5092397286 (ExtendedPoll)
	638+50	(	2 0 4453.2892312949 2 5524.6835235967 )	54.3579916958 (ExtendedPoll)
	638+55	(	2 0 4453.1800482882 2 5540.2966935568 )	54.1950044054 (ExtendedPoll)
	638+59	(	2 0 4449.7953750800 2 5547.3389974899 )	54.1501982295 (ExtendedPoll)
	638+63	(	2 0 4458.8302688856 2 5540.9790873488 )	54.1396632915 (ExtendedPoll)
	638+73	(	2 0 4458.3987614362 2 5541.5182850685 )	54.1376935988 (ExtendedPoll)
	638+86	(	2 0 4458.4198350926 2 5541.5559487575 )	54.1371193459 (ExtendedPoll)
	638+88	(	2 0 4458.4486331602 2 5541.5458498792 )	54.1369795760 (ExtendedPoll)
	638+95	(	2 0 4458.4524474032 2 5541.5457910551 )	54.1369476680 (ExtendedPoll)
	738+11	(	2 0 4695.1610452549 2 5241.9495428779 )	55.4530370223 (ExtendedPoll)
	738+12	(	2 0 4619.1696725821 2 5296.9777782617 )	55.4492782592 (ExtendedPoll)
	738+15	(	2 0 4772.8993460352 2 5199.1498042461 )	55.3189871998 (ExtendedPoll)
	738+21	(	2 0 4803.9073199419 2 5194.3457519507 )	55.1267190068 (ExtendedPoll)
	738+24	(	2 0 4779.8870584649 2 5214.4354251860 )	55.0861821831 (ExtendedPoll)
	738+25	(	2 0 4707.8262740337 2 5274.7044448921 )	54.9771582390 (ExtendedPoll)
	738+26	(	2 0 4419.5831363091 2 5515.7805237163 )	54.7394753219 (ExtendedPoll)
	738+28	(	2 0 4251.8780379967 2 5711.4364717475 )	54.2065798938 (ExtendedPoll)
	738+29	(	2 0 3916.4678413717 2 6046.8466683725 )	54.1969206166 (ExtendedPoll)
	738+38	(	2 0 3947.9125473053 2 6047.2834003993 )	53.8946625323 (ExtendedPoll)
	738+43	(	2 0 3960.2502270639 2 6037.7844788152 )	53.8597225819 (ExtendedPoll)
	738+52	(	2 0 3961.1262500944 2 6037.3528647418 )	53.8551714185 (ExtendedPoll)
	738+53	(	2 0 3963.7543191857 2 6036.0580225215 )	53.8415309007 (ExtendedPoll)
	738+63	(	2 0 3963.8724386189 2 6036.0888168742 )	53.8401500357 (ExtendedPoll)
	738+69	(	2 0 3963.8977126790 2 6036.0717128804 )	53.8400591085 (ExtendedPoll)
	738+70	(	2 0 3963.9735348593 2 6036.0204008990 )	53.8397863412 (ExtendedPoll)
	738+71	(	2 0 3964.0565483307 2 6035.9309033538 )	53.8397753773 (ExtendedPoll)
	738+72	(	2 0 3964.3055887447 2 6035.6624107183 )	53.8397427557 (ExtendedPoll)
	738+73	(	2 0 3965.3017504010 2 6034.5884401761 )	53.8396163244 (ExtendedPoll)
	738+74	(	2 0 3969.2863970259 2 6030.2925580077 )	53.8391754528 (ExtendedPoll)
	738+75	(	2 0 3985.2249835255 2 6013.1090293339 )	53.8384482501 (ExtendedPoll)
	738+78	(	2 0 3987.0145612449 2 6012.3276884421 )	53.8284510125 (ExtendedPoll)
	738+83	(	2 0 3987.3798551717 2 6012.0036580149 )	53.8278471786 (ExtendedPoll)
	738+84	(	2 0 3988.4757369520 2 6011.0315667334 )	53.8260397128 (ExtendedPoll)
	738+86	(	2 0 3986.7339267980 2 6013.1742832402 )	53.8237018301 (ExtendedPoll)
	738+95	(	2 0 3986.6783090383 2 6013.2829464548 )	53.8232765676 (ExtendedPoll)
	738+99	(	2 0 3986.8030524894 2 6013.1636141732 )	53.8231454979 (ExtendedPoll)
	738+100	(	2 0 3987.1772828427 2 6012.8056173285 )	53.8227528066 (ExtendedPoll)
	738+110	(	2 0 3987.1736824074 2 6012.8204452533 )	53.8226572738 (ExtendedPoll)
	738+112	(	2 0 3987.1869497063 2 6012.8129081631 )	53.8225983976 (ExtendedPoll)
	738+113	(	2 0 3987.2077526376 2 6012.7905795918 )	53.8225977726 (ExtendedPoll)
	738+114	(	2 0 3987.2701614317 2 6012.7235938779 )	53.8225959146 (ExtendedPoll)
	738+115	(	2 0 3987.5197966079 2 6012.4556510226 )	53.8225887344 (ExtendedPoll)
	738+116	(	2 0 3988.5183373128 2 6011.3838796011 )	53.8225640459 (ExtendedPoll)
	738+117	(	2 0 3992.5125001324 2 6007.0967939151 )	53.8225297822 (ExtendedPoll)
	738+121	(	2 0 3992.8719297375 2 6006.7662594221 )	53.8220484338 (ExtendedPoll)
	738+122	(	2 0 3993.9502185528 2 6005.7746559431 )	53.8206084721 (ExtendedPoll)
	738+130	(	2 0 3994.1935345893 2 6005.7947812288 )	53.8181500804 (ExtendedPoll)
	738+138	(	2 0 3994.2169631374 2 6005.7752257153 )	53.8181014599 (ExtendedPoll)
	738+143	(	2 0 3994.2052365766 2 6005.7933405549 )	53.8180529267 (ExtendedPoll)
	738+149	(	2 0 3994.2070325934 2 6005.7926984484 )	53.8180416998 (ExtendedPoll)
	892+10	(	2 0 4983.7317319996 2 5014.9580719198 )	55.8453986667 (ExtendedPoll)
	892+11	(	2 0 4934.9269279985 2 5059.8322876792 )	55.6824111014 (ExtendedPoll)
	892+12	(	2 0 4739.7077119942 2 5239.3291507168 )	55.1228042284 (ExtendedPoll)
	892+13	(	2 0 3958.8308479767 2 5957.3166028671 )	54.5781023915 (ExtendedPoll)
	892+20	(	2 0 3979.7939852657 2 6016.7121585194 )	53.8581095439 (ExtendedPoll)
	892+27	(	2 0 3988.6378088095 2 6010.1065866132 )	53.8325947095 (ExtendedPoll)
	892+35	(	2 0 3989.5633053899 2 6010.4187817731 )	53.8211783096 (ExtendedPoll)
	892+45	(	2 0 3989.5756322315 2 6010.4097884943 )	53.8211411134 (ExtendedPoll)
	892+46	(	2 0 3989.6126127563 2 6010.3828086579 )	53.8210295286 (ExtendedPoll)
	892+51	(	2 0 3989.6241534539 2 6010.3728265038 )	53.8210083518 (ExtendedPoll)
	892+55	(	2 0 3989.6276603588 2 6010.3713253267 )	53.8209885364 (ExtendedPoll)
	957+13	(	2 0 3659.6318779221 2 6340.1599919713 )	54.3646950351 (ExtendedPoll)
	957+14	(	2 0 3663.4498711882 2 6335.7176083856 )	54.3592886738 (ExtendedPoll)
	957+15	(	2 0 3678.7218442523 2 6317.9480740430 )	54.3387643534 (ExtendedPoll)
	957+16	(	2 0 3739.8097365087 2 6246.8699366722 )	54.2742427310 (ExtendedPoll)
	957+22	(	2 0 3747.2068852135 2 6244.3587275178 )	54.2206960776 (ExtendedPoll)
	957+24	(	2 0 3733.7773753877 2 6261.9371915988 )	54.2169921066 (ExtendedPoll)
	957+28	(	2 0 3729.6284211326 2 6268.5700592566 )	54.2069023761 (ExtendedPoll)
	957+39	(	2 0 3729.8079759991 2 6269.9395382979 )	54.1945664870 (ExtendedPoll)
	957+46	(	2 0 3730.0391102401 2 6269.8609297318 )	54.1928795948 (ExtendedPoll)
	957+47	(	2 0 3730.4171990505 2 6269.5520399169 )	54.1915098832 (ExtendedPoll)
	957+54	(	2 0 3730.5280413937 2 6269.4196928396 )	54.1914305422 (ExtendedPoll)
	957+55	(	2 0 3730.8605684232 2 6269.0226516079 )	54.1911930941 (ExtendedPoll)
	957+56	(	2 0 3732.1906765414 2 6267.4344866812 )	54.1902519228 (ExtendedPoll)
	957+57	(	2 0 3737.5111090140 2 6261.0818269741 )	54.1866251399 (ExtendedPoll)
	957+58	(	2 0 3758.7928389047 2 6235.6711881460 )	54.1743221404 (ExtendedPoll)
	957+59	(	2 0 3843.9197584675 2 6134.0286328333 )	54.1602124163 (ExtendedPoll)
	957+61	(	2 0 3850.7164006354 2 6130.1799318466 )	54.1262487754 (ExtendedPoll)
	957+62	(	2 0 3871.1063271392 2 6118.6338288866 )	54.0252546165 (ExtendedPoll)
	957+68	(	2 0 3874.9618520638 2 6118.0196744739 )	53.9932699228 (ExtendedPoll)
	957+71	(	2 0 3878.5580673474 2 6116.4979363178 )	53.9713481391 (ExtendedPoll)
	957+74	(	2 0 3882.4477119616 2 6116.1772112356 )	53.9366512244 (ExtendedPoll)
	957+77	(	2 0 3883.8176174990 2 6114.7851279000 )	53.9350795566 (ExtendedPoll)
	957+78	(	2 0 3887.9273341111 2 6110.6088778932 )	53.9304333927 (ExtendedPoll)
	957+79	(	2 0 3904.3662005594 2 6093.9038778659 )	53.9128801378 (ExtendedPoll)
	957+80	(	2 0 3970.1216663528 2 6027.0838777571 )	53.8590909037 (ExtendedPoll)
	957+86	(	2 0 3973.0218399687 2 6024.4703095339 )	53.8544261587 (ExtendedPoll)
	957+87	(	2 0 3981.7223608162 2 6016.6296048642 )	53.8406919834 (ExtendedPoll)
	957+92	(	2 0 3984.9637313280 2 6014.4459447299 )	53.8292462452 (ExtendedPoll)
	957+97	(	2 0 3985.8052081727 2 6013.9503562385 )	53.8256595333 (ExtendedPoll)
	957+105	(	2 0 3985.8396877184 2 6014.0674560795 )	53.8243145748 (ExtendedPoll)
	957+108	(	2 0 3985.9527091902 2 6014.0213411865 )	53.8236546852 (ExtendedPoll)
	957+113	(	2 0 3986.0162471161 2 6013.9629145501 )	53.8235671131 (ExtendedPoll)
	957+114	(	2 0 3986.2068608937 2 6013.7876346407 )	53.8233045248 (ExtendedPoll)
	957+120	(	2 0 3986.1976307305 2 6013.7997850945 )	53.8232852967 (ExtendedPoll)
	957+126	(	2 0 3986.2011589420 2 6013.7983347110 )	53.8232647945 (ExtendedPoll)
	957+130	(	2 0 3986.1999003828 2 6013.7997678928 )	53.8232641222 (ExtendedPoll)
	957+133	(	2 0 3986.1980746415 2 6013.8017534985 )	53.8232639619 (ExtendedPoll)
	1130+15	(	2 0 4999.7419965034 2 5000.2294282565 )	55.9008939292 (ExtendedPoll)
	1130+16	(	2 0 4998.9679860137 2 5000.9177130262 )	55.8984788107 (ExtendedPoll)
	1130+17	(	2 0 4995.8719440548 2 5003.6708521046 )	55.8888394453 (ExtendedPoll)
	1130+18	(	2 0 4983.4877762190 2 5014.6834084185 )	55.8506205863 (ExtendedPoll)
	1130+19	(	2 0 4933.9511048760 2 5058.7336336741 )	55.7032178511 (ExtendedPoll)
	1130+20	(	2 0 4735.8044195041 2 5234.9345346965 )	55.2046851896 (ExtendedPoll)
	1130+21	(	2 0 3943.2176780166 2 5939.7381387862 )	54.8819022435 (ExtendedPoll)
	1130+23	(	2 0 3935.3565015332 2 5969.8726486392 )	54.6880709245 (ExtendedPoll)
	1130+24	(	2 0 3911.7729720830 2 6060.2761781983 )	54.1268308179 (ExtendedPoll)
	1130+30	(	2 0 3902.3832335056 2 6072.7230409636 )	54.1106121774 (ExtendedPoll)
	1130+31	(	2 0 3874.2140177734 2 6110.0636292598 )	54.0666592435 (ExtendedPoll)
	1130+34	(	2 0 3854.9978085918 2 6134.5206227637 )	54.0491056788 (ExtendedPoll)
	1130+41	(	2 0 3852.6503739474 2 6141.9723629719 )	54.0104767054 (ExtendedPoll)
	1130+45	(	2 0 3860.8118036993 2 6134.5206227637 )	53.9930000229 (ExtendedPoll)
	1130+46	(	2 0 3885.2960929549 2 6112.1654021390 )	53.9427035432 (ExtendedPoll)
	1130+54	(	2 0 3886.8263610334 2 6110.9507411893 )	53.9381441910 (ExtendedPoll)
	1130+55	(	2 0 3891.4171652688 2 6107.3067583403 )	53.9245293625 (ExtendedPoll)
	1130+56	(	2 0 3897.5041178931 2 6102.3935230381 )	53.9073073325 (ExtendedPoll)
	1130+66	(	2 0 3897.7068634861 2 6102.2575240879 )	53.9065051034 (ExtendedPoll)
	1130+74	(	2 0 3897.7316573216 2 6102.2397316194 )	53.9064167304 (ExtendedPoll)
	1130+75	(	2 0 3897.8060388280 2 6102.1863542139 )	53.9061516260 (ExtendedPoll)
	1130+81	(	2 0 3897.8185626742 2 6102.1776373870 )	53.9061047270 (ExtendedPoll)
	1130+87	(	2 0 3897.8165360562 2 6102.1808692197 )	53.9060970673 (ExtendedPoll)
	1130+90	(	2 0 3897.8201618133 2 6102.1796835545 )	53.9060722877 (ExtendedPoll)
	1130+103	(	2 0 3897.8200835182 2 6102.1797734473 )	53.9060722845 (ExtendedPoll)
	1130+104	(	2 0 3897.8198486328 2 6102.1800431259 )	53.9060722750 (ExtendedPoll)
	1241+5	(	2 0 4966.3716339321 2 5028.8243137725 )	55.8117570732 (ExtendedPoll)
	1241+6	(	2 0 4865.4865357285 2 5115.2972550898 )	55.5653095642 (ExtendedPoll)
	1241+7	(	2 0 4461.9461429141 2 5461.1890203593 )	54.9583349271 (ExtendedPoll)
	1241+13	(	2 0 4468.9338553438 2 5524.0784322265 )	54.2311656305 (ExtendedPoll)
	1241+14	(	2 0 4385.0813061876 2 5614.9186938124 )	54.0080105561 (ExtendedPoll)
	1291+22	(	2 0 4999.9828435272 2 5000.0130887244 )	55.9016722791 (ExtendedPoll)
	1291+23	(	2 0 4999.9313741087 2 5000.0523548977 )	55.9015908089 (ExtendedPoll)
	1291+24	(	2 0 4999.7254964348 2 5000.2094195909 )	55.9012650053 (ExtendedPoll)
	1291+25	(	2 0 4998.9019857391 2 5000.8376783636 )	55.8999630243 (ExtendedPoll)
	1291+26	(	2 0 4995.6079429565 2 5003.3507134546 )	55.8947748483 (ExtendedPoll)
	1291+27	(	2 0 4982.4317718259 2 5013.4028538183 )	55.8743389196 (ExtendedPoll)
	1291+28	(	2 0 4929.7270873038 2 5053.6114152732 )	55.7977153969 (ExtendedPoll)
	1291+29	(	2 0 4718.9083492152 2 5214.4456610929 )	55.5764644844 (ExtendedPoll)
	1291+32	(	2 0 4720.0070032202 2 5218.1920030108 )	55.5244848408 (ExtendedPoll)
	1291+33	(	2 0 4723.3029652354 2 5229.4310287644 )	55.3687307229 (ExtendedPoll)
	1291+34	(	2 0 4734.5488149269 2 5240.3493294358 )	55.1527367318 (ExtendedPoll)
	1291+35	(	2 0 4725.8141743898 2 5270.4838392888 )	54.8793050383 (ExtendedPoll)
	1291+43	(	2 0 4724.6472810056 2 5274.2097093929 )	54.8463890957 (ExtendedPoll)
	1291+48	(	2 0 4723.8706315711 2 5274.8016860074 )	54.8459531010 (ExtendedPoll)
	1291+49	(	2 0 4721.5406832677 2 5276.5776158510 )	54.8446571102 (ExtendedPoll)
	1291+50	(	2 0 4712.2208900540 2 5283.6813352253 )	54.8396533297 (ExtendedPoll)
	1291+51	(	2 0 4674.9417171991 2 5312.0962127226 )	54.8225390616 (ExtendedPoll)
	1291+52	(	2 0 4525.8250257796 2 5425.7557227117 )	54.8016355518 (ExtendedPoll)
	1291+55	(	2 0 4527.5719538871 2 5456.7636966185 )	54.4520740351 (ExtendedPoll)
